season,round,race_name,driver_id,driver_last_10_finish_mean,driver_gap_mean_last_10,driver_gap_trend_last_10,driver_consistency_index
2022,1,Bahrain Grand Prix,albon,,,,
2022,2,Saudi Arabian Grand Prix,albon,13.0,0.8479649122807018,,
2022,3,Australian Grand Prix,albon,13.5,0.8479649122807018,,
2022,4,Emilia Romagna Grand Prix,albon,12.333333333333334,0.9313790078644888,,2.081665999466133
2022,5,Miami Grand Prix,albon,12.0,0.9313790078644888,,1.8257418583505538
2022,6,Spanish Grand Prix,albon,11.4,0.7880479935470861,,2.0736441353327724
2022,7,Monaco Grand Prix,albon,12.5,0.7880479935470861,,3.271085446759225
2022,8,Azerbaijan Grand Prix,albon,13.285714285714286,0.7880479935470861,,3.638419332360584
2022,9,Canadian Grand Prix,albon,13.125,0.7880479935470861,,3.399054490379851
2022,10,British Grand Prix,albon,13.11111111111111,0.7478217094460289,,3.1797973380564852
2022,11,Austrian Grand Prix,albon,13.8,0.7478217094460289,,3.7058512292499457
2022,12,French Grand Prix,albon,13.7,0.7144406418344712,,3.743141876967945
2022,13,Hungarian Grand Prix,albon,13.6,0.8093116134513251,,3.7475918193480524
2022,14,Belgian Grand Prix,albon,14.3,0.7408177834523415,,3.653004851412662
2022,15,Dutch Grand Prix,albon,14.2,1.0332212921347106,,3.7653389990514503
2022,17,Singapore Grand Prix,albon,14.5,0.9992602175733072,,3.4075080500434787
2022,18,Japanese Grand Prix,albon,14.4,0.9992602175733072,,3.306559138036598
2022,19,United States Grand Prix,albon,14.6,0.9992602175733072,,3.5962943891363133
2022,20,Mexico City Grand Prix,albon,14.7,1.0673867454872172,,3.5292429153510465
2022,21,São Paulo Grand Prix,albon,14.6,1.1774477175733071,,3.5962943891363133
2022,22,Abu Dhabi Grand Prix,albon,14.1,1.039104652931885,,3.0713731999438507
2023,1,Bahrain Grand Prix,albon,14.2,1.039104652931885,,3.0110906108363236
2023,2,Saudi Arabian Grand Prix,albon,13.9,1.1313302735872974,,3.281259920619923
2023,3,Australian Grand Prix,albon,14.1,1.1313302735872974,,3.5418137224371984
2023,4,Azerbaijan Grand Prix,albon,15.0,0.9365548874386671,,3.5276684147527875
2023,5,Miami Grand Prix,albon,15.0,1.2691204511641574,,3.5276684147527875
2023,6,Monaco Grand Prix,albon,14.7,1.2520577644400979,,3.4657049948186747
2023,7,Spanish Grand Prix,albon,14.1,1.2060416435269212,,2.923088169119166
2023,8,Canadian Grand Prix,albon,14.4,1.0428107827210604,,2.9514591494904865
2023,9,Austrian Grand Prix,albon,13.9,0.9984153647813173,,3.7252889522529355
2023,10,British Grand Prix,albon,13.5,1.079149771219949,,3.807886552931953
2023,11,Hungarian Grand Prix,albon,13.0,0.9781022036636092,,4.189935029992178
2023,12,Belgian Grand Prix,albon,13.1,0.8099380160205886,,4.121757985239901
2023,13,Dutch Grand Prix,albon,12.6,0.9065080344425434,,3.5962943891363133
2023,14,Italian Grand Prix,albon,11.5,0.8317058421094001,-0.08576076781303212,3.0641293851417064
2023,15,Singapore Grand Prix,albon,11.0,0.7464646656388119,-0.027516793832234508,3.366501646120693
2023,16,Japanese Grand Prix,albon,10.7,0.7451888025941034,0.024798475040960565,3.1989581637360214
2023,17,Qatar Grand Prix,albon,10.9,0.7195474429977772,,3.4785054261852175
2023,18,United States Grand Prix,albon,10.6,0.8544773875171955,,3.098386676965934
2023,19,Mexico City Grand Prix,albon,10.8,0.9407761970410049,,2.8982753492378883
2023,20,São Paulo Grand Prix,albon,10.6,0.8783129732538375,,2.9514591494904883
2023,21,Las Vegas Grand Prix,albon,11.7,0.9542559410644134,,3.802046232695699
2023,22,Abu Dhabi Grand Prix,albon,11.8,1.0313585497600655,,3.794733192202055
2024,1,Bahrain Grand Prix,albon,11.8,0.9524513201362411,,3.794733192202055
2024,2,Saudi Arabian Grand Prix,albon,12.5,0.9440847526759236,,3.6590830666833574
2024,3,Australian Grand Prix,albon,12.9,1.0495432330680803,,3.1780497164141397
2024,4,Japanese Grand Prix,albon,12.9,0.9089582373125625,,3.1780497164141397
2024,5,Chinese Grand Prix,albon,13.3,0.9089582373125625,,3.8020462326956976
2024,6,Miami Grand Prix,albon,13.2,0.8275740346183269,,3.8239014399199953
2024,7,Emilia Romagna Grand Prix,albon,14.1,0.7891557623752192,,3.7844711945293246
2024,8,Monaco Grand Prix,albon,15.2,0.8320774105213772,,3.7357135269658386
2024,9,Canadian Grand Prix,albon,14.2,0.8095579939464648,,3.9384147967311804
2024,10,Spanish Grand Prix,albon,14.7,0.807129135938817,,3.9454615277134124
2024,11,Austrian Grand Prix,albon,15.1,0.7803650207436673,,4.067486256208426
2024,12,British Grand Prix,albon,15.1,0.7957757350293816,,4.067486256208426
2024,13,Hungarian Grand Prix,albon,14.9,0.7386188119524586,,4.332051092342594
2024,14,Belgian Grand Prix,albon,15.2,0.803688333582621,,4.131182235954577
2024,15,Dutch Grand Prix,albon,14.4,0.8807216100666115,,3.8643671323171827
2024,16,Italian Grand Prix,albon,14.6,0.8312021495535331,,3.777124126457411
2024,17,Azerbaijan Grand Prix,albon,13.7,0.8338402246942149,,3.9454615277134133
2024,18,Singapore Grand Prix,albon,12.4,0.9078274764166443,,3.7771241264574122
2024,19,United States Grand Prix,albon,13.5,0.9398156512284651,,4.249182927993987
2024,20,Mexico City Grand Prix,albon,13.4,0.8684543162434841,,4.168666186896928
2024,21,São Paulo Grand Prix,albon,13.5,0.8694534134662273,,4.3011626335213125
2024,22,Las Vegas Grand Prix,albon,13.8,0.9651712480430351,,4.516635916254485
2024,23,Qatar Grand Prix,albon,14.8,0.9115395329732846,,4.442221666388713
2024,24,Abu Dhabi Grand Prix,albon,14.9,0.8485458304197996,,4.433458644845527
2022,1,Bahrain Grand Prix,alonso,15.222222222222221,0.7342640874128504,,4.576510072581992
2022,2,Saudi Arabian Grand Prix,alonso,14.666666666666666,0.6876538081936756,,5.024937810560443
2022,3,Australian Grand Prix,alonso,15.444444444444445,0.5539446187326605,,4.5582647770591125
2022,4,Emilia Romagna Grand Prix,alonso,16.555555555555557,0.23868432824485453,,3.2829526005986973
2022,5,Miami Grand Prix,alonso,16.444444444444443,0.23868432824485453,,3.1666666666666625
2022,6,Spanish Grand Prix,alonso,15.88888888888889,0.3344789055973267,,3.655285366576881
2022,7,Monaco Grand Prix,alonso,14.777777777777779,0.3344789055973267,,4.085883557377084
2022,8,Azerbaijan Grand Prix,alonso,13.555555555555555,0.42743730419799497,,4.6127841676993455
2022,9,Canadian Grand Prix,alonso,12.222222222222221,0.6077263139466312,,4.57651007258199
2022,10,British Grand Prix,alonso,11.555555555555555,0.6656677425180598,,4.558264777059111
2022,11,Austrian Grand Prix,alonso,10.9,0.5732872213291524,,4.771442828607154
2022,12,French Grand Prix,alonso,11.0,0.6290253673493689,,4.737556801183962
2022,13,Hungarian Grand Prix,alonso,10.0,0.6257349759357949,,4.618802153517002
2022,14,Belgian Grand Prix,alonso,9.1,0.6257349759357949,,3.928528138289619
2022,15,Dutch Grand Prix,alonso,7.7,0.7162630962566554,,2.0575065816014537
2022,16,Italian Grand Prix,alonso,7.2,0.6618321229901557,,1.7511900715418165
2022,17,Singapore Grand Prix,alonso,8.2,0.6618321229901557,,4.131182235954574
2022,18,Japanese Grand Prix,alonso,9.3,0.6544187268218483,,5.121848624601601
2022,19,United States Grand Prix,alonso,9.3,0.5478371441887951,,5.121848624601601
2022,20,Mexico City Grand Prix,alonso,9.1,0.627877025141176,,5.173651192984181
2022,21,São Paulo Grand Prix,alonso,10.5,0.7311755070924881,,5.797509043642027
2022,22,Abu Dhabi Grand Prix,alonso,10.0,0.6281673826709703,,6.055300708194982
2023,1,Bahrain Grand Prix,alonso,11.4,0.6319442554315794,,6.619835513230083
2023,2,Saudi Arabian Grand Prix,alonso,10.9,0.6362722596432752,,7.078135347674554
2023,3,Australian Grand Prix,alonso,10.7,0.4776102899463055,,7.288499312082164
2023,4,Azerbaijan Grand Prix,alonso,10.4,0.44531726631923013,,7.560129334578577
2023,5,Miami Grand Prix,alonso,8.9,0.43740639634085277,,7.140650452787116
2023,6,Monaco Grand Prix,alonso,7.4,0.4286099827631584,,6.569288816573336
2023,7,Spanish Grand Prix,alonso,6.9,0.3806730551074808,,6.789698078707178
2023,8,Canadian Grand Prix,alonso,6.9,0.3822992049992556,,6.789698078707178
2023,9,Austrian Grand Prix,alonso,5.2,0.33982151555489387,,5.411920998027303
2023,10,British Grand Prix,alonso,5.2,0.3666290272919831,,5.411920998027303
2023,11,Hungarian Grand Prix,alonso,3.9,0.3557257399474002,-0.011124741660447371,1.8529256146249573
2023,12,Belgian Grand Prix,alonso,4.5,0.3772116547343676,0.03722351982994144,2.4152294576982283
2023,13,Dutch Grand Prix,alonso,4.7,0.4234633820070949,0.05399698867756631,2.3593784492248404
2023,14,Italian Grand Prix,alonso,4.6,0.4224461406277845,0.003346254808367774,2.4585451886114256
2023,15,Singapore Grand Prix,alonso,5.1,0.4701206504317061,0.025410537227816353,2.806737924669442
2023,16,Japanese Grand Prix,alonso,6.3,0.5734026255307441,0.06925094028639364,4.083843505544468
2023,17,Qatar Grand Prix,alonso,6.9,0.6779751460919439,0.09386562548543492,3.813717929323615
2023,18,United States Grand Prix,alonso,6.8,0.6711253853263937,0.11787161522017013,3.8239014399199904
2023,19,Mexico City Grand Prix,alonso,8.2,0.7456948725848818,,4.391911757866823
2023,20,São Paulo Grand Prix,alonso,9.5,0.7946074358833441,,5.190803834132476
2023,21,Las Vegas Grand Prix,alonso,9.1,0.8161385504553917,,5.546770832355222
2023,22,Abu Dhabi Grand Prix,alonso,9.1,0.7667771218839632,,5.546770832355222
2024,1,Bahrain Grand Prix,alonso,9.3,0.728937290379261,,5.417051268397265
2024,2,Saudi Arabian Grand Prix,alonso,10.0,0.8783407991511909,,4.784233364802438
2024,3,Australian Grand Prix,alonso,9.6,0.8494000148374654,,5.037636129950013
2024,4,Japanese Grand Prix,alonso,8.9,0.8869741944815144,,4.677368680976277
2024,5,Chinese Grand Prix,alonso,8.7,0.8186581567456652,,4.762119042797833
2024,6,Miami Grand Prix,alonso,8.8,0.7800272435251139,,4.709328803319827
2024,7,Emilia Romagna Grand Prix,alonso,8.1,0.7508526765057542,,3.9846929339382915
2024,8,Monaco Grand Prix,alonso,8.2,0.795765795951953,0.04492966075915916,4.263540521418525
2024,9,Canadian Grand Prix,alonso,9.0,0.7527812889096995,-0.022870461328060036,3.915780041490241
2024,10,Spanish Grand Prix,alonso,8.7,0.7244661460525567,-0.07163645305737418,4.029061098237815
2024,11,Austrian Grand Prix,alonso,9.2,0.6889372070605142,-0.1221925440667188,4.104198392432366
2024,12,British Grand Prix,alonso,10.1,0.6347772571858276,-0.0903657454389813,4.954235000930459
2024,13,Hungarian Grand Prix,alonso,10.4,0.6907074110319813,-0.0598119957272402,4.695151163109067
2024,14,Belgian Grand Prix,alonso,10.7,0.635404012017203,0.03241534600167925,4.620004810002304
2024,15,Dutch Grand Prix,alonso,10.9,0.6657809416913024,0.06955310492760487,4.433458644845527
2024,16,Italian Grand Prix,alonso,11.2,0.6273365000414031,0.03204069793520749,4.237399621885519
2024,17,Azerbaijan Grand Prix,alonso,11.4,0.6998003199685796,0.05824758641784602,4.168666186896926
2024,18,Singapore Grand Prix,alonso,10.1,0.7259940897345505,0.13316340641130436,3.510302297840202
2024,19,United States Grand Prix,alonso,9.8,0.7259940897345505,0.04516412280711649,3.552776691859791
2024,20,Mexico City Grand Prix,alonso,10.5,0.7065212325916933,-0.02985325603516665,3.407508050043476
2024,21,São Paulo Grand Prix,alonso,11.1,0.7725825661275225,,4.148627617792551
2024,22,Las Vegas Grand Prix,alonso,10.7,0.7942760098818358,,3.5605867181937523
2024,23,Qatar Grand Prix,alonso,11.0,0.810746950052776,,3.43187671366233
2024,24,Abu Dhabi Grand Prix,alonso,10.6,0.7102272340962179,,3.6575644598253847
2024,2,Saudi Arabian Grand Prix,bearman,10.88888888888889,0.6603976838127906,,3.756475889861545
2024,17,Azerbaijan Grand Prix,bearman,10.555555555555555,0.7389852894465934,,3.9721250959376584
2024,21,São Paulo Grand Prix,bearman,10.444444444444445,0.785235751895724,,3.972125095937659
2022,1,Bahrain Grand Prix,bottas,11.0,0.6885663495054773,,3.8544964466377216
2022,2,Saudi Arabian Grand Prix,bottas,10.75,0.714934770558109,,4.131758532565588
2022,3,Australian Grand Prix,bottas,11.0,0.8340905656511269,,4.342481186734472
2022,4,Emilia Romagna Grand Prix,bottas,9.75,0.8329520119374191,,3.3700360320244105
2022,5,Miami Grand Prix,bottas,8.625,0.7721248404891297,,3.2486260832190914
2022,6,Spanish Grand Prix,bottas,8.125,0.6336614319678265,,3.136763573220925
2022,7,Monaco Grand Prix,bottas,8.0,0.7005085497623126,,3.2071349029490914
2022,8,Azerbaijan Grand Prix,bottas,8.11111111111111,0.7132789654170235,,3.018461712712471
2022,9,Canadian Grand Prix,bottas,8.555555555555555,0.704667389048027,,3.1269438398822844
2022,10,British Grand Prix,bottas,8.222222222222221,0.5238656283437452,,3.113590282044899
2022,11,Austrian Grand Prix,bottas,9.1,0.5238656283437452,,4.040077006966849
2022,12,French Grand Prix,bottas,9.6,0.5804134085062992,,3.9214509786273957
2022,13,Hungarian Grand Prix,bottas,9.5,0.6756077194204936,,3.7785946829182087
2022,14,Belgian Grand Prix,bottas,10.7,0.6505222243813805,,4.967673276069768
2022,15,Dutch Grand Prix,bottas,12.1,0.6960107962417836,,5.152130088074679
2022,16,Italian Grand Prix,bottas,13.3,0.7766494602145102,,5.229191567005782
2022,17,Singapore Grand Prix,bottas,14.0,0.7986437247304581,,4.570436400267355
2022,18,Japanese Grand Prix,bottas,14.2,1.0183689189394978,,4.366539438350077
2022,19,United States Grand Prix,bottas,14.6,1.2944016892046233,,4.221637386396675
2022,20,Mexico City Grand Prix,bottas,15.8,1.6103736808442595,,3.457680661303973
2022,21,São Paulo Grand Prix,bottas,15.1,1.6103736808442595,,3.871548642195887
2022,22,Abu Dhabi Grand Prix,bottas,14.9,1.2818049085205185,,4.148627617792544
2023,1,Bahrain Grand Prix,bottas,15.0,1.2934820163921381,,4.136557881996944
2023,2,Saudi Arabian Grand Prix,bottas,13.8,1.283756249136209,,4.263540521418521
2023,3,Australian Grand Prix,bottas,13.7,1.1258988768599874,,4.1379007023153855
2023,4,Azerbaijan Grand Prix,bottas,12.9,0.9564502134752769,,3.75499667110371
2023,5,Miami Grand Prix,bottas,13.4,0.8682744686930945,,4.087922591134897
2023,6,Monaco Grand Prix,bottas,13.6,0.825486736651125,,4.005551702879939
2023,7,Spanish Grand Prix,bottas,13.2,0.5684728219943534,,4.049691346263311
2023,8,Canadian Grand Prix,bottas,13.2,0.5852367961681362,,4.049691346263311
2023,9,Austrian Grand Prix,bottas,13.2,0.6072930251653275,,4.049691346263311
2023,10,British Grand Prix,bottas,13.8,0.6341106419773105,,3.7947331922020466
2023,11,Hungarian Grand Prix,bottas,13.5,0.6130688085488101,-0.02153468217086033,3.807886552931946
2023,12,Belgian Grand Prix,bottas,13.9,0.5100225080148666,1.7049516032373952e-05,3.3482997343593723
2023,13,Dutch Grand Prix,bottas,13.3,0.6034982965120836,0.04911861654363387,3.056868404829423
2023,14,Italian Grand Prix,bottas,13.6,0.6254164957458002,0.0011598888577386583,2.9514591494904763
2023,15,Singapore Grand Prix,bottas,12.8,0.7129905741771727,0.014237083669299414,2.6997942308422003
