season,round,race_name,driver_id,driver_track_gap_mean,driver_track_finish_mean,driver_track_experience_count
2022,22,Abu Dhabi Grand Prix,albon,,,0
2023,22,Abu Dhabi Grand Prix,albon,,13.0,1
2024,24,Abu Dhabi Grand Prix,albon,1.0478103448275862,13.5,2
2022,3,Australian Grand Prix,albon,1.0478103448275862,13.5,0
2023,3,Australian Grand Prix,albon,1.031301724137931,12.333333333333334,1
2024,3,Australian Grand Prix,albon,1.031301724137931,14.0,2
2022,11,Austrian Grand Prix,albon,1.031301724137931,14.0,0
2023,9,Austrian Grand Prix,albon,1.031301724137931,13.6,1
2024,11,Austrian Grand Prix,albon,1.0378255625708273,13.166666666666666,2
2022,8,Azerbaijan Grand Prix,albon,1.0378255625708273,13.166666666666666,0
2023,4,Azerbaijan Grand Prix,albon,1.0378255625708273,13.0,1
2024,17,Azerbaijan Grand Prix,albon,1.2023201523202773,12.875,2
2022,1,Bahrain Grand Prix,albon,1.2023201523202773,12.875,0
2023,1,Bahrain Grand Prix,albon,1.1314491043123622,12.88888888888889,1
2024,1,Bahrain Grand Prix,albon,1.2020496921901265,12.6,2
2022,14,Belgian Grand Prix,albon,1.2020496921901265,12.6,0
2023,12,Belgian Grand Prix,albon,1.303247138760368,12.363636363636363,1
2024,14,Belgian Grand Prix,albon,1.3502247691425948,12.5,2
2022,10,British Grand Prix,albon,1.3502247691425948,12.5,0
2023,10,British Grand Prix,albon,1.3502247691425948,13.076923076923077,1
2024,12,British Grand Prix,albon,1.2302852648788878,12.714285714285714,2
2022,9,Canadian Grand Prix,albon,1.2302852648788878,12.714285714285714,0
2023,8,Canadian Grand Prix,albon,1.1699710241052848,12.733333333333333,1
2024,9,Canadian Grand Prix,albon,1.1301593725632457,12.375,2
2024,5,Chinese Grand Prix,albon,1.1301593725632457,12.375,0
2022,15,Dutch Grand Prix,albon,1.1301593725632457,12.375,0
2023,13,Dutch Grand Prix,albon,1.0664412304051976,12.352941176470589,1
2024,15,Dutch Grand Prix,albon,0.9965985289210371,12.11111111111111,2
2022,4,Emilia Romagna Grand Prix,albon,0.9965985289210371,12.11111111111111,0
2024,7,Emilia Romagna Grand Prix,albon,0.9965985289210371,12.052631578947368,1
2022,12,French Grand Prix,albon,0.9965985289210371,12.052631578947368,0
2022,13,Hungarian Grand Prix,albon,0.9965985289210371,12.052631578947368,0
2023,11,Hungarian Grand Prix,albon,0.9965985289210371,12.3,1
2024,13,Hungarian Grand Prix,albon,0.9403942861720188,12.238095238095237,2
2023,14,Italian Grand Prix,albon,0.9403942861720188,12.238095238095237,0
2024,16,Italian Grand Prix,albon,0.9339274775514006,12.0,1
2022,18,Japanese Grand Prix,albon,0.9339274775514006,12.0,0
2023,16,Japanese Grand Prix,albon,0.9339274775514006,12.347826086956522,1
2024,4,Japanese Grand Prix,albon,0.9339274775514006,12.5,2
2023,21,Las Vegas Grand Prix,albon,0.9339274775514006,12.5,0
2024,22,Las Vegas Grand Prix,albon,0.927217010204438,12.48,1
2022,20,Mexico City Grand Prix,albon,0.927217010204438,12.48,0
2023,19,Mexico City Grand Prix,albon,0.927217010204438,12.461538461538462,1
2024,20,Mexico City Grand Prix,albon,0.9014221405072425,12.333333333333334,2
2022,5,Miami Grand Prix,albon,0.9014221405072425,12.333333333333334,0
2023,5,Miami Grand Prix,albon,0.8791979085297446,12.214285714285714,1
2024,6,Miami Grand Prix,albon,0.8952299668989085,12.275862068965518,2
2022,7,Monaco Grand Prix,albon,0.8952299668989085,12.275862068965518,0
2023,6,Monaco Grand Prix,albon,0.8952299668989085,12.466666666666667,1
2024,8,Monaco Grand Prix,albon,0.899266520502015,12.516129032258064,2
2023,17,Qatar Grand Prix,albon,0.899266520502015,12.516129032258064,0
2024,23,Qatar Grand Prix,albon,0.931438457286798,12.53125,1
2022,2,Saudi Arabian Grand Prix,albon,0.931438457286798,12.53125,0
2023,2,Saudi Arabian Grand Prix,albon,0.931438457286798,12.575757575757576,1
2024,2,Saudi Arabian Grand Prix,albon,0.931438457286798,12.764705882352942,2
2022,17,Singapore Grand Prix,albon,0.931438457286798,12.764705882352942,0
