season,round,race_name,driver_id,driver_rain_skill,wet_race_experience
2022,5,Miami Grand Prix,albon,,0
2022,7,Monaco Grand Prix,albon,-0.2866620286348054,1
2022,10,British Grand Prix,albon,-0.24643574453374817,2
2022,13,Hungarian Grand Prix,albon,-0.31565630830491964,3
2022,17,Singapore Grand Prix,albon,-0.40735472807836026,4
2022,18,Japanese Grand Prix,albon,-0.40735472807836026,5
2023,6,Monaco Grand Prix,albon,-0.5504035078489673,6
2023,9,Austrian Grand Prix,albon,-0.24065884883311117,7
2023,12,Belgian Grand Prix,albon,-0.05844696679597561,8
2023,13,Dutch Grand Prix,albon,0.10969394607122085,9
2023,20,São Paulo Grand Prix,albon,-0.07267210316286243,10
2024,9,Canadian Grand Prix,albon,-0.03963719008062139,11
2024,10,Spanish Grand Prix,albon,-0.03963719008062139,12
2024,11,Austrian Grand Prix,albon,-0.040213617460684525,13
2024,12,British Grand Prix,albon,-0.11582017403093825,14
2024,21,São Paulo Grand Prix,albon,-0.06421287116496843,15
2022,5,Miami Grand Prix,alonso,-0.03266530434436088,0
2022,7,Monaco Grand Prix,alonso,-0.054528822439180225,1
2022,10,British Grand Prix,alonso,-0.06191263694388893,2
2022,13,Hungarian Grand Prix,alonso,-0.10447066629518909,3
2022,17,Singapore Grand Prix,alonso,-0.10021907558858734,4
2022,18,Japanese Grand Prix,alonso,-0.10021907558858734,5
2023,6,Monaco Grand Prix,alonso,-0.049667531169368506,6
2023,9,Austrian Grand Prix,alonso,-0.06452278372569564,7
2023,12,Belgian Grand Prix,alonso,-0.07697535878488293,8
2023,13,Dutch Grand Prix,alonso,-0.07096749788557166,9
2023,20,São Paulo Grand Prix,alonso,-0.12319684125337715,10
2024,9,Canadian Grand Prix,alonso,-0.13031106751137256,11
2024,10,Spanish Grand Prix,alonso,-0.14764357149792695,12
2024,11,Austrian Grand Prix,alonso,-0.16598598169331347,13
2024,12,British Grand Prix,alonso,-0.16113263039594194,14
2024,21,São Paulo Grand Prix,alonso,-0.13576756125302458,15
2024,21,São Paulo Grand Prix,bearman,-0.14676603721809378,0
2022,5,Miami Grand Prix,bottas,-0.1385514723025041,0
2022,7,Monaco Grand Prix,bottas,-0.1453444480950571,1
2022,10,British Grand Prix,bottas,-0.1333028277206766,2
2022,13,Hungarian Grand Prix,bottas,-0.13802210192507802,3
2022,17,Singapore Grand Prix,bottas,-0.13802210192507802,4
2022,18,Japanese Grand Prix,bottas,-0.10908961356377345,5
2023,6,Monaco Grand Prix,bottas,-0.0543550549205255,6
2023,9,Austrian Grand Prix,bottas,-0.06503948996949349,7
2023,12,Belgian Grand Prix,bottas,-0.061747605088231294,8
2023,13,Dutch Grand Prix,bottas,-0.04070701903573082,9
2023,20,São Paulo Grand Prix,bottas,-0.06699291033740606,10
2024,9,Canadian Grand Prix,bottas,-0.06165287127993002,11
2024,10,Spanish Grand Prix,bottas,-0.065720519351127,12
2024,11,Austrian Grand Prix,bottas,-0.0628595378634823,13
2024,12,British Grand Prix,bottas,-0.07309371442367218,14
2024,21,São Paulo Grand Prix,bottas,-0.06345349114770649,15
2024,21,São Paulo Grand Prix,colapinto,-0.06662636108888764,0
2023,6,Monaco Grand Prix,de_vries,-0.0734048302410929,0
2023,9,Austrian Grand Prix,de_vries,-0.06941245730248613,1
2022,5,Miami Grand Prix,gasly,-0.07292026678217789,0
2022,7,Monaco Grand Prix,gasly,-0.07292026678217789,1
2022,10,British Grand Prix,gasly,-0.07049072966082048,2
2022,13,Hungarian Grand Prix,gasly,-0.07211003037963803,3
2022,17,Singapore Grand Prix,gasly,-0.07097877080332204,4
2022,18,Japanese Grand Prix,gasly,-0.06069868111704502,5
2023,6,Monaco Grand Prix,gasly,-0.02481004313536228,6
