season,round,race_name,driver_code,fp_session,fp_gap_to_best_seconds
2025,1,Australian Grand Prix,ALB,FP1,1.158
2025,1,Australian Grand Prix,ALB,FP2,0.189
2025,1,Australian Grand Prix,ALB,FP3,0.5585
2025,1,Australian Grand Prix,ALO,FP1,0.8165
2025,1,Australian Grand Prix,ALO,FP2,0.31
2025,1,Australian Grand Prix,ALO,FP3,1.831
2025,1,Australian Grand Prix,ANT,FP1,2.149
2025,1,Australian Grand Prix,ANT,FP2,1.1115
2025,1,Australian Grand Prix,ANT,FP3,0.5825
2025,1,Australian Grand Prix,BEA,FP1,2.622
2025,1,Australian Grand Prix,BOR,FP1,2.3555
2025,1,Australian Grand Prix,BOR,FP2,1.2690000000000001
2025,1,Australian Grand Prix,BOR,FP3,1.3285
2025,1,Australian Grand Prix,DOO,FP1,1.661
2025,1,Australian Grand Prix,DOO,FP2,0.588
2025,1,Australian Grand Prix,DOO,FP3,0.8515
2025,1,Australian Grand Prix,GAS,FP1,1.077
2025,1,Australian Grand Prix,GAS,FP2,1.062
2025,1,Australian Grand Prix,GAS,FP3,1.4115
2025,1,Australian Grand Prix,HAD,FP1,3.17
2025,1,Australian Grand Prix,HAD,FP2,0.5995
2025,1,Australian Grand Prix,HAD,FP3,1.4645000000000001
2025,1,Australian Grand Prix,HAM,FP1,0.8845
2025,1,Australian Grand Prix,HAM,FP2,0.59
2025,1,Australian Grand Prix,HAM,FP3,0.3895
2025,1,Australian Grand Prix,HUL,FP1,1.6684999999999999
2025,1,Australian Grand Prix,HUL,FP2,0.335
2025,1,Australian Grand Prix,HUL,FP3,1.0165
2025,1,Australian Grand Prix,LAW,FP1,1.175
2025,1,Australian Grand Prix,LAW,FP2,0.816
2025,1,Australian Grand Prix,LEC,FP1,0.0
2025,1,Australian Grand Prix,LEC,FP2,3.388
2025,1,Australian Grand Prix,LEC,FP3,0.1935
2025,1,Australian Grand Prix,NOR,FP1,0.389
2025,1,Australian Grand Prix,NOR,FP2,0.309
2025,1,Australian Grand Prix,NOR,FP3,0.6595
2025,1,Australian Grand Prix,OCO,FP1,1.968
2025,1,Australian Grand Prix,OCO,FP2,1.011
2025,1,Australian Grand Prix,OCO,FP3,1.8795
2025,1,Australian Grand Prix,PIA,FP1,0.757
2025,1,Australian Grand Prix,PIA,FP2,0.058
2025,1,Australian Grand Prix,PIA,FP3,0.193
2025,1,Australian Grand Prix,RUS,FP1,3.379
2025,1,Australian Grand Prix,RUS,FP2,2.406
2025,1,Australian Grand Prix,RUS,FP3,0.0
2025,1,Australian Grand Prix,SAI,FP1,0.546
2025,1,Australian Grand Prix,SAI,FP2,0.0
2025,1,Australian Grand Prix,SAI,FP3,0.5715
2025,1,Australian Grand Prix,STR,FP1,1.0005
2025,1,Australian Grand Prix,STR,FP2,0.7445
2025,1,Australian Grand Prix,STR,FP3,1.9104999999999999
2025,1,Australian Grand Prix,TSU,FP1,2.512
2025,1,Australian Grand Prix,TSU,FP2,0.213
2025,1,Australian Grand Prix,TSU,FP3,0.6375
2025,1,Australian Grand Prix,VER,FP1,1.599
2025,1,Australian Grand Prix,VER,FP2,0.456
2025,1,Australian Grand Prix,VER,FP3,0.8515
2025,2,Chinese Grand Prix,ALB,FP1,2.48
2025,2,Chinese Grand Prix,ALO,FP1,1.6644999999999999
2025,2,Chinese Grand Prix,ANT,FP1,3.161
2025,2,Chinese Grand Prix,BEA,FP1,3.269
2025,2,Chinese Grand Prix,BOR,FP1,1.972
2025,2,Chinese Grand Prix,DOO,FP1,3.3810000000000002
2025,2,Chinese Grand Prix,GAS,FP1,1.5955
2025,2,Chinese Grand Prix,HAD,FP1,2.8355
2025,2,Chinese Grand Prix,HAM,FP1,0.4065
2025,2,Chinese Grand Prix,HUL,FP1,2.051
2025,2,Chinese Grand Prix,LAW,FP1,1.704
2025,2,Chinese Grand Prix,LEC,FP1,0.0
2025,2,Chinese Grand Prix,NOR,FP1,2.907
2025,2,Chinese Grand Prix,OCO,FP1,1.855
2025,2,Chinese Grand Prix,PIA,FP1,0.976
2025,2,Chinese Grand Prix,RUS,FP1,2.1025
2025,2,Chinese Grand Prix,SAI,FP1,3.023
2025,2,Chinese Grand Prix,STR,FP1,1.7495
2025,2,Chinese Grand Prix,TSU,FP1,2.4085
2025,2,Chinese Grand Prix,VER,FP1,3.975
2025,3,Japanese Grand Prix,ALB,FP1,0.003
2025,3,Japanese Grand Prix,ALB,FP2,2.0095
2025,3,Japanese Grand Prix,ALB,FP3,2.6055
2025,3,Japanese Grand Prix,ALO,FP1,0.008
2025,3,Japanese Grand Prix,ALO,FP2,1.7810000000000001
2025,3,Japanese Grand Prix,ALO,FP3,1.6545
2025,3,Japanese Grand Prix,ANT,FP1,3.033
2025,3,Japanese Grand Prix,ANT,FP2,4.072
2025,3,Japanese Grand Prix,ANT,FP3,4.177
2025,3,Japanese Grand Prix,BEA,FP1,0.0
2025,3,Japanese Grand Prix,BEA,FP2,2.158
2025,3,Japanese Grand Prix,BEA,FP3,1.931
2025,3,Japanese Grand Prix,BOR,FP1,3.297
2025,3,Japanese Grand Prix,BOR,FP2,3.955
2025,3,Japanese Grand Prix,BOR,FP3,1.8784999999999998
2025,3,Japanese Grand Prix,DOO,FP2,3.462
2025,3,Japanese Grand Prix,DOO,FP3,1.8765
2025,3,Japanese Grand Prix,GAS,FP1,0.93
2025,3,Japanese Grand Prix,GAS,FP2,0.985
2025,3,Japanese Grand Prix,GAS,FP3,0.9195
2025,3,Japanese Grand Prix,HAD,FP1,0.153
2025,3,Japanese Grand Prix,HAD,FP2,3.8155
2025,3,Japanese Grand Prix,HAD,FP3,0.9515
2025,3,Japanese Grand Prix,HAM,FP1,1.6139999999999999
2025,3,Japanese Grand Prix,HAM,FP2,4.73
2025,3,Japanese Grand Prix,HAM,FP3,0.0115
2025,3,Japanese Grand Prix,HIR,FP1,1.6520000000000001
2025,3,Japanese Grand Prix,HUL,FP1,2.1845
2025,3,Japanese Grand Prix,HUL,FP2,3.325
2025,3,Japanese Grand Prix,HUL,FP3,4.9325
2025,3,Japanese Grand Prix,LAW,FP1,2.3045
2025,3,Japanese Grand Prix,LAW,FP2,4.012
2025,3,Japanese Grand Prix,LAW,FP3,1.5125
2025,3,Japanese Grand Prix,LEC,FP1,2.3755
2025,3,Japanese Grand Prix,LEC,FP2,1.2155
2025,3,Japanese Grand Prix,LEC,FP3,0.0495
2025,3,Japanese Grand Prix,NOR,FP1,2.057
2025,3,Japanese Grand Prix,NOR,FP2,0.0
2025,3,Japanese Grand Prix,NOR,FP3,0.7235
2025,3,Japanese Grand Prix,OCO,FP1,0.671
2025,3,Japanese Grand Prix,OCO,FP2,3.5244999999999997
2025,3,Japanese Grand Prix,OCO,FP3,1.8675000000000002
2025,3,Japanese Grand Prix,PIA,FP1,2.206
2025,3,Japanese Grand Prix,PIA,FP2,1.173
2025,3,Japanese Grand Prix,PIA,FP3,0.473
2025,3,Japanese Grand Prix,RUS,FP1,2.3395
