season,round,race_name,driver_code,fp_session,fp_gap_to_best_seconds
2024,1,Bahrain Grand Prix,ALB,FP1,0.996
2024,1,Bahrain Grand Prix,ALB,FP2,0.782
2024,1,Bahrain Grand Prix,ALB,FP3,0.495
2024,1,Bahrain Grand Prix,ALO,FP1,0.073
2024,1,Bahrain Grand Prix,ALO,FP2,0.0
2024,1,Bahrain Grand Prix,ALO,FP3,0.764
2024,1,Bahrain Grand Prix,BOT,FP1,0.0
2024,1,Bahrain Grand Prix,BOT,FP2,1.35
2024,1,Bahrain Grand Prix,BOT,FP3,0.8585
2024,1,Bahrain Grand Prix,GAS,FP1,2.0045
2024,1,Bahrain Grand Prix,GAS,FP2,1.31
2024,1,Bahrain Grand Prix,GAS,FP3,1.2814999999999999
2024,1,Bahrain Grand Prix,HAM,FP1,3.8040000000000003
2024,1,Bahrain Grand Prix,HAM,FP2,0.0425
2024,1,Bahrain Grand Prix,HAM,FP3,0.533
2024,1,Bahrain Grand Prix,HUL,FP1,4.6205
2024,1,Bahrain Grand Prix,HUL,FP2,1.039
2024,1,Bahrain Grand Prix,HUL,FP3,1.194
2024,1,Bahrain Grand Prix,LEC,FP1,3.2640000000000002
2024,1,Bahrain Grand Prix,LEC,FP2,0.543
2024,1,Bahrain Grand Prix,LEC,FP3,0.53
2024,1,Bahrain Grand Prix,MAG,FP1,4.4885
2024,1,Bahrain Grand Prix,MAG,FP2,0.9355
2024,1,Bahrain Grand Prix,MAG,FP3,3.9845
2024,1,Bahrain Grand Prix,NOR,FP1,3.144
2024,1,Bahrain Grand Prix,NOR,FP2,1.7189999999999999
2024,1,Bahrain Grand Prix,NOR,FP3,0.79
2024,1,Bahrain Grand Prix,OCO,FP1,1.859
2024,1,Bahrain Grand Prix,OCO,FP2,1.639
2024,1,Bahrain Grand Prix,OCO,FP3,1.182
2024,1,Bahrain Grand Prix,PER,FP1,4.126
2024,1,Bahrain Grand Prix,PER,FP2,2.7525
2024,1,Bahrain Grand Prix,PER,FP3,0.5255
2024,1,Bahrain Grand Prix,PIA,FP1,4.6635
2024,1,Bahrain Grand Prix,PIA,FP2,5.152
2024,1,Bahrain Grand Prix,PIA,FP3,1.452
2024,1,Bahrain Grand Prix,RIC,FP1,4.389
2024,1,Bahrain Grand Prix,RIC,FP2,1.246
2024,1,Bahrain Grand Prix,RIC,FP3,0.2895
2024,1,Bahrain Grand Prix,RUS,FP1,4.1745
2024,1,Bahrain Grand Prix,RUS,FP2,0.786
2024,1,Bahrain Grand Prix,RUS,FP3,0.0
2024,1,Bahrain Grand Prix,SAI,FP1,3.376
2024,1,Bahrain Grand Prix,SAI,FP2,0.541
2024,1,Bahrain Grand Prix,SAI,FP3,0.9755
2024,1,Bahrain Grand Prix,SAR,FP1,2.436
2024,1,Bahrain Grand Prix,SAR,FP2,1.3355000000000001
2024,1,Bahrain Grand Prix,SAR,FP3,1.0255
